event_unique_id,division,occurrencedate,reporteddate,premisetype,occurrencehour,mci_category,neighbourhood
GO-202235621,D55,2022-01-06 5:00,2022-01-06 5:00,House,16,Assault,Greenwood-Coxwell
GO-2022356497,D52,2022-02-24 5:00,2022-02-24 5:00,Other,8,Assault,Kensington-Chinatown
GO-2022356527,D33,2022-02-24 5:00,2022-02-24 5:00,Outside,8,Assault,Banbury-Don Mills
GO-202235670,D22,2022-01-03 5:00,2022-01-06 5:00,Apartment,13,Assault,Islington-City Centre West
GO-2022356764,D51,2021-12-06 5:00,2022-02-24 5:00,Commercial,10,Assault,North St.James Town
GO-2022356855,D43,2022-02-24 5:00,2022-02-24 5:00,Educational,12,Assault,Woburn
GO-2022358451,D32,2022-02-24 5:00,2022-02-24 5:00,Commercial,13,Robbery,Yorkdale-Glen Park
GO-2022358529,D43,2022-02-21 5:00,2022-02-24 5:00,Apartment,14,Assault,Eglinton East
GO-2022358555,D52,2022-02-22 5:00,2022-02-24 5:00,Educational,10,Sexual Violation,University
GO-2022358583,D33,2022-02-15 5:00,2022-02-24 5:00,Outside,20,Robbery,St.Andrew-Windfields
GO-2022358601,D22,2021-09-26 5:00,2022-02-24 5:00,Apartment,14,Sexual Violation,Mimico includes Humber Bay Shores
GO-2022358765,D54,2022-02-24 5:00,2022-02-24 5:00,Outside,13,Assault,Playter Estates-Danforth
GO-2022358795,D22,2022-02-19 5:00,2022-02-24 5:00,Apartment,17,Assault,Markland Wood
GO-2022358914,D52,2022-02-24 5:00,2022-02-24 5:00,Commercial,6,Break and Enter,Bay Street Corridor
GO-2022359065,D12,2022-02-24 5:00,2022-02-24 5:00,Outside,15,Assault,Rockcliffe-Smythe
GO-2022359171,D43,2022-02-22 5:00,2022-02-24 5:00,House,10,Sexual Violation,Woburn
GO-2022359233,D52,2022-02-24 5:00,2022-02-24 5:00,Commercial,15,Assault,Bay Street Corridor
GO-2022359500,D53,2022-02-24 5:00,2022-02-24 5:00,Commercial,16,Assault,Annex
GO-2022359638,D41,2021-07-01 5:00,2022-02-24 5:00,House,0,Sexual Violation,Wexford-Maryvale
GO-2022359773,D33,2017-01-01 5:00,2022-02-24 5:00,Apartment,0,Assault,Don Valley Village
GO-2022359858,D55,2022-02-23 5:00,2022-02-24 5:00,Apartment,11,Assault,East End-Danforth
GO-20223600,D52,2021-12-31 5:00,2022-01-01 5:00,Outside,23,Assault,Church-Yonge Corridor
GO-2022360239,D43,2022-02-24 5:00,2022-02-24 5:00,House,18,Assault,Scarborough Village
GO-2022361307,D12,2022-01-30 5:00,2022-02-24 5:00,Apartment,12,Assault,Keelesdale-Eglinton West
GO-2022361564,D31,2022-02-24 5:00,2022-02-24 5:00,Outside,22,Assault,York University Heights
GO-2022361575,D11,2022-02-24 5:00,2022-02-24 5:00,House,23,Assault,Dovercourt-Wallace Emerson-Junction
GO-2022361591,D31,2022-02-24 5:00,2022-03-03 5:00,Outside,23,Assault,York University Heights
GO-202236161,D42,2022-01-07 5:00,2022-01-07 5:00,Apartment,18,Break and Enter,Tam OShanter-Sullivan
GO-2022361614,D54,2022-02-24 5:00,2022-02-24 5:00,Outside,22,Assault,Danforth
GO-2022361652,D11,2022-02-24 5:00,2022-02-24 5:00,Commercial,22,Break and Enter,Dufferin Grove
GO-2022361687,D11,2022-02-24 5:00,2022-02-25 5:00,House,23,Assault,Junction Area
GO-2022361810,D55,2022-02-24 5:00,2022-02-25 5:00,Apartment,23,Assault,South Riverdale
GO-2022361822,D55,2022-02-19 5:00,2022-02-24 5:00,House,11,Assault,East End-Danforth
GO-2022361847,D51,2022-02-24 5:00,2022-02-24 5:00,Apartment,23,Assault,Regent Park
GO-2022361847,D51,2022-02-24 5:00,2022-02-24 5:00,Apartment,23,Robbery,Regent Park
GO-2022361860,D55,2022-02-24 5:00,2022-02-24 5:00,House,23,Assault,The Beaches
GO-2022361861,D14,2022-02-24 5:00,2022-02-24 5:00,Commercial,23,Break and Enter,Waterfront Communities-The Island
GO-2022361938,D23,2022-02-25 5:00,2022-02-25 5:00,House,0,Assault,Thistletown-Beaumond Heights
GO-2022361969,D12,2017-01-01 5:00,2022-02-25 5:00,Apartment,8,Sexual Violation,Rockcliffe-Smythe
GO-2022362006,D31,2022-02-25 5:00,2022-02-25 5:00,House,0,Assault,Glenfield-Jane Heights
GO-2022362018,D14,2022-02-24 5:00,2022-02-25 5:00,Outside,23,Robbery,Kensington-Chinatown
GO-2022362050,D14,2022-02-25 5:00,2022-02-25 5:00,House,1,Break and Enter,Annex
GO-2022362120,D54,2022-02-25 5:00,2022-02-25 5:00,Transit,1,Assault,East End-Danforth
GO-2022362277,D14,2022-02-25 5:00,2022-02-25 5:00,Apartment,2,Assault,South Parkdale
GO-2022362301,D43,2022-02-24 5:00,2022-02-25 5:00,Apartment,2,Assault,Woburn
GO-2022362327,D11,2022-02-25 5:00,2022-02-25 5:00,Apartment,2,Assault,Weston-Pellam Park
GO-2022363886,D22,2022-02-25 5:00,2022-02-25 5:00,Apartment,9,Break and Enter,Mimico includes Humber Bay Shores
GO-20223639,D23,2022-01-01 5:00,2022-01-01 5:00,Commercial,15,Robbery,West Humber-Clairville
GO-2022363939,D32,2022-02-25 5:00,2022-02-25 5:00,Commercial,2,Break and Enter,York University Heights
GO-2022364026,D33,2022-02-21 5:00,2022-02-25 5:00,Outside,12,Assault,Don Valley Village
GO-2022364113,D31,2022-02-25 5:00,2022-02-25 5:00,Apartment,3,Assault,Black Creek
GO-2022364159,D43,2022-02-24 5:00,2022-02-25 5:00,Other,23,Assault,West Hill
GO-2022364229,D31,2022-02-25 5:00,2022-02-25 5:00,Commercial,0,Break and Enter,York University Heights
GO-2022364334,D54,2022-02-20 5:00,2022-02-25 5:00,Transit,10,Assault,East End-Danforth
GO-2022364350,D32,2022-02-22 5:00,2022-02-25 5:00,Apartment,22,Break and Enter,Clanton Park
GO-2022364408,D53,2021-09-13 5:00,2022-02-25 5:00,Apartment,0,Sexual Violation,Forest Hill North
GO-2022364469,NSA,2021-11-01 5:00,2022-02-25 5:00,House,0,Assault,Unknown
